id,code,name,city,province,longitude,latitude
1,PEK,首都,北京,北京,116.5871,40.078537
2,SHA,虹桥,上海,上海,121.33347,31.19779
3,PVG,浦东,上海,上海,121.799805,31.151825
4,CAN,白云,广州,广东,113.29734,23.387861
5,SZX,宝安,深圳,广东,113.81084,22.639444
6,CTU,双流,成都,四川,103.9568,30.581135
7,KMG,长水,昆明,云南,102.92917,25.101944
8,XIY,咸阳,西安,陕西,108.75605,34.441154
9,HGH,萧山,杭州,浙江,120.43236,30.236935
10,CKG,江北,重庆,重庆,106.63408,29.72034
11,NAY,南苑,北京,北京,116.38778,39.7825
12,JNG,曲阜,济宁,山东,116.3466667,35.29277778
13,JUZ,衢州,衢州,浙江,118.833336,28.966667
14,KCA,库车,库车,新疆,83.7,41.166668
15,KWE,龙洞堡,贵阳,贵州,106.79598,26.544216
16,LJG,三义,丽江,云南,100.244736,26.671738
17,LXA,贡嘎,拉萨,西藏,90.90051,29.29305
18,LYA,北郊,洛阳,河南,112.38541,34.736362
19,LYI,沭埠岭,临沂,山东,118.40707,35.047478
20,LZH,白莲,柳州,广西,109.39843,24.206156
21,NKG,禄口,南京,江苏,118.86652,31.735737
22,NTG,兴东,南通,江苏,120.9756,32.07292
23,DQA,萨尔图,大庆,黑龙江,125.147156,46.75015
24,AEB,田阳,百色,广西,106.96777,23.71947
25,BPL,阿拉山口,博乐,新疆,82.024185,44.904232
26,ERL,赛乌苏,二连浩特,内蒙古,112.09845,43.426674
27,GYS,盘龙,广元,四川,105.69972,32.395
28,GYU,六盘山,固原,宁夏,106.218025,36.075325
29,HZH,黎平,黎平,贵州,109.15381,26.320213
30,KGT,康定,甘孜,四川,101.747536,30.13176
31,KJI,喀纳斯,布尔津,新疆,86.99611,48.22167
32,LDS,林都,伊春,黑龙江,129.01799,47.751827
33,LLB,荔波,黔南州,贵州,107.961914,25.452477
34,NGQ,昆莎,阿里,西藏,80.054276,32.103817
35,ENH,许家坪,恩施,湖北,109.48201,30.321934
36,HSN,普陀山,舟山,浙江,122.35691,29.935259
37,YCU,关公,运城,山西,111.03705,35.114986
38,URC,地窝堡,乌鲁木齐,新疆,87.47515,43.90126
39,CSX,黄花,长沙,湖南,113.21459,28.193336
40,JIC,金川,金昌,甘肃,102.34861,38.541943
41,NZH,西郊,满洲里,内蒙古,117.33163,49.57059
42,TCZ,驼峰,腾冲,云南,98.482025,24.939379
43,HDG,邯郸,邯郸,河北,114.425,36.525833
44,HET,白塔,呼和浩特,内蒙古,111.814156,40.854713
45,HFE,新桥,合肥,安徽,116.97263,31.986883
46,HLD,东山,海拉尔,内蒙古,119.81813,49.209908
47,HMI,哈密,哈密,新疆,93.416664,42.916668
48,HTN,霍坦,和田,新疆,79.87245,37.040436
49,HYN,路桥,台州,浙江,121.41675,28.558096
50,IQM,且末,且末,新疆,85.53333,38.13333
51,IQN,庆阳,庆阳,甘肃,107.6044,35.8001
52,JDZ,罗家,景德镇,江西,117.17879,29.33549
53,JHG,嘎洒,西双版纳,云南,100.76646,21.973421
54,JJN,晋江,泉州,福建,118.587296,24.802809
55,JNZ,锦州,锦州,辽宁,121.281342,40.956289
56,KHN,昌北,南昌,江西,115.907845,28.859901
57,KRY,克拉玛依,克拉玛依,新疆,84.88333,45.61667
58,KWL,两江,桂林,广西,110.04684,25.217585
59,LUM,芒市,德宏,云南,98.5319,24.40528
60,LZO,蓝田,泸州,四川,105.37902,28.844757
61,MDG,海浪 ,牡丹江,黑龙江,129.58385,44.534943
62,MXZ,长岗岌,梅县,广州,116.10449,24.266811
63,NDG,三家子,齐齐哈尔,黑龙江,123.916664,47.316666
64,OHE,古莲 ,漠河,黑龙江,122.42059,52.92113
65,SJW,正定,石家庄,河北,114.69211,38.281868
66,SYM,思茅,普洱,云南,100.96222,22.79657
67,TGO,通辽,通辽,内蒙古,122.204605,43.55701
68,WEH,大水泊,威海,山东,122.23607,37.18814
69,WUX,苏南硕放,无锡,江苏,120.42438,31.49289
70,XFN,襄阳,襄阳,湖北,112.29069,32.150066
71,XUZ,观音,徐州,江苏,117.554756,34.055035
72,YNJ,朝阳川,延吉,吉林,129.43936,42.885662
73,ZHA,湛江,湛江,广东,110.36272,21.214727
74,ZYI,新舟,遵义,贵州,107.2461111,27.81111111
75,YIH,三峡,宜昌,湖北,111.478935,30.549934
76,YNT,莱山,烟台,山东,120.9920669,37.65815681
77,CIH,王村,长治,山西,113.12158,36.24588
78,DAX,河市,达州,四川,107.42689,31.135012
79,HAK,美兰,海口,海南,110.45717,19.941612
80,JZH,黄龙,九寨沟,四川,103.68306,32.856667
81,MIG,南郊,绵阳,四川,104.74714,31.427633
82,CGQ,龙嘉,长春,吉林,125.697045,43.995219
83,CIF,玉龙,赤峰,内蒙古,118.833176,42.154522
84,CZX,奔牛,常州,江苏,119.77976,31.914116
85,DAT,云冈,大同,山西,113.48136,40.05554
86,DDG,浪头,丹东,辽宁,124.28081,40.032368
87,DIG,香格里拉,迪庆,云南,99.67778,27.789722
88,DLC,周水子,大连,辽宁,121.53999,38.96102
89,DNH,敦煌,敦煌,甘肃,94.683334,40.2
90,DOY,东营,东营,山东,118.78778,37.518333
91,RLK,天吉泰,巴彦淖尔,内蒙古,107.73889,40.926388
92,YIE,伊尔施,阿尔山,内蒙古,119.91194,47.310555
93,YZY,张掖,张掖,甘肃,100.67544,38.803127
94,XNN,曹家堡,西宁,青海,102.03754,36.525322
95,YBP,菜坝,宜宾,四川,104.54395,28.797659
96,BSD,保山云端,保山,云南,99.16143,25.055182
97,INC,河东,银川,宁夏,106.38806,38.323032
98,SHE,桃仙,沈阳,辽宁,123.48573,41.63499
99,FUG,西关,阜阳,安徽,115.7371222,32.8795078
100,HIA,涟水,淮安,江苏,119.12778,33.7875
101,JXA,兴凯湖,鸡西,黑龙江,130.99675,45.306084
102,LCX,冠豸山,连城,福建,116.74556,25.675556
103,LZY,米林,林芝,西藏,94.335884,29.309076
104,UYN,榆阳,榆林,陕西,109.59618,38.361465
105,TSN,滨海,天津,天津,117.3559,39.128273
106,YTY,泰州,扬州,江苏,119.71889,32.563057
107,KHG,喀什,喀什,新疆,76.01038,39.53689
108,NAO,高坪,南充,四川,106.066666,30.8
109,TAO,流亭,青岛,山东,120.38236,36.265884
110,WNZ,龙湾,温州,浙江,120.84738,27.91566
111,ZAT,昭通,昭通,云南,103.8,27.316668
112,AAT,阿勒泰,阿勒泰,新疆,88.08444,47.750362
113,LNJ,临沧,临沧,云南,100.026245,23.744106
114,CGD,桃花源,常德,湖南,111.63886,28.924467
115,NNG,吴圩 ,南宁,广西,108.1675,22.61321
116,KRL,库尔勒,库尔勒,新疆,86.14312,41.616398
117,AQG,安庆,安庆,安徽,117.0509,30.5825
118,WUH,天河,武汉,湖北,114.209625,30.776598
119,XIC,青山,西昌,四川,102.187645,27.981922
120,YNZ,南洋,盐城,江苏,120.20418,33.43468
121,FOC,长乐,福州,福建,119.66923,25.93123
122,GOQ,格尔木,格尔木,青海,94.78931,36.404633
123,HEK,黑河,黑河,黑龙江,127.433334,50.216667
124,HJJ,芷江,怀化,湖南,109.69972,27.44139
125,HLH,乌兰浩特,乌兰浩特,内蒙古,122.00148,46.19349
126,HRB,太平,哈尔滨,黑龙江,126.23644,45.620853
127,HZG,西关,汉中,陕西,107.206739,33.130146
128,JGS,井冈山,井冈山,江西,114.7375,26.899721
129,JIU,庐山,九江,江西,115.96667,29.7
130,THQ,麦积山,天水,甘肃,105.86501,34.556236
131,TLQ,交河,吐鲁番,新疆,89.07455,43.019962
132,TVS,三女河,唐山,河北,117.99791,39.718784
133,YUS,巴塘,玉树,青海,97.03779,32.839466
134,ZHY,香山,中卫,宁夏,105.15253,37.568935
135,WNH,普者黑,文山,云南,104.330925,23.566683
136,SHP,山海关,秦皇岛,河北,119.730347,39.976814
137,SYX,凤凰,三亚,海南,109.40888,18.305277
138,TEN,凤凰,铜仁,贵州,109.29902,27.88369
139,TNA,遥墙,济南,山东,117.20688,36.85769
140,TXN,屯溪,黄山,安徽,118.25646,29.72962
141,WUA,乌海,乌海,内蒙古,106.799164,39.794724
142,WUS,武夷山,武夷山,福建,118.0006,27.701284
143,WUZ,长州岛,梧州,广西,111.25191,23.456062
144,XIL,锡林浩特,锡林浩特,内蒙古,115.95924,43.918762
145,ACX,兴义,兴义,贵州,104.95944,25.085556
146,AKA,安康,安康,陕西,108.936,32.7091
147,AKU,阿克苏,阿克苏,新疆,80.29262,41.259983
148,AOG,腾鳌,鞍山,辽宁,122.86131,41.101663
149,AVA,黄果树,安顺,贵州,105.87281,26.26005
150,BAV,二里半,包头,内蒙古,109.9985,40.563442
151,BHY,福成,北海,广西,109.288704,21.5431
152,BPX,昌都邦达,昌都,西藏,97.10667,30.555834
153,JMU,东郊,佳木斯,黑龙江,130.45541,46.845394
154,KOW,黄金,赣州,江西,114.77779,25.849628
155,LLF,零陵,永州,湖南,111.61222,26.345556
156,LYG,白塔埠,连云港,江苏,118.87698,34.565937
157,NNY,姜营,南阳,河南,112.61305,32.9837
158,SWA,潮汕,揭阳,广东,116.51028,23.54944
159,TYN,武宿,太原,山西,112.62585,37.754997
160,WEF,潍坊,潍坊,山东,119.11347,36.641075
161,XMN,高崎,厦门,福建,118.13418,24.543064
162,YIN,伊宁,伊宁,新疆,81.33144,43.952
163,ZUH,金湾,珠海,广东,113.3706,22.011787
164,YIW,义乌,义乌,浙江,120.02881,29.344563
165,CHG,朝阳,朝阳,辽宁,120.4372,41.545082
166,DLU,大理,大理,云南,100.32316,25.65135
167,JGN,嘉峪关,嘉峪关,甘肃,98.416664,39.833332
168,NGB,栎社,宁波,浙江,121.462395,29.820415
169,CGO,新郑,郑州,河南,113.84024,34.52752
170,ZQZ,张家口,张家口,河北,114.93146,40.739227
171,YIC,宜春明月山,宜春,江西,114.30806,27.803333
172,BFJ,毕节飞雄,毕节,贵州,105.47096,27.26672
173,JUH,九华山,池州,安徽,117.73568,30.766115
174,TXG,台中,台中,台湾,120.64611,24.15
175,TNN,台南,台南市,台湾,120.21571,22.948706
176,TTT,台东,台东市,台湾,121.1,22.75
177,HKG,赤鱲角,香港,香港,113.93649,22.315248
178,HUN,花莲,花莲,台湾,121.613434,24.025764
179,KHH,高雄,高雄,台湾,120.345276,22.5725
180,MFM,澳门,澳门,澳门,113.57285,22.156588
181,RMQ,清泉岗,台中,台湾,120.60118,24.254755
182,TPE,桃园,台北,台湾,121.23248,25.075512
183,TSA,松山,台北,台湾,121.551926,25.06279
184,LHW,中川,兰州,甘肃,103.62005,36.512593
185,HLD,东山,呼伦贝尔,内蒙古,119.81813,49.209908
186,DSN,伊金霍洛,鄂尔多斯,内蒙古,109.8674112,39.49578803
187,DYG,荷花,张家界,湖南,110.447943,29.101431
188,HUZ,平潭,惠州,广东,114.6052582,23.04773123
189,WDS,武当山,十堰,湖北,110.9107793,32.5867458
190,RIZ,山字河,日照,山东,119.3420375,35.39396018
191,WXN,五桥,万州,重庆,108.436494,30.799035
192,NBS,长白山,白山,吉林,127.609218,42.071926
193,JZH,黄龙,九寨,四川,103.68306,32.856667
194,FUO,沙堤,佛山,广东,113.075983,23.080913
195,HNY,南岳,衡阳,湖南,112.6194285,26.72099528
196,KJH,黄平,凯里,贵州,107.984657,26.975584
197,LPF,月照,六盘水,贵州,104.955801,26.59095
198,ENY,二十里堡,延安,陕西,121.543699,38.964114
199,UCB,集宁,乌兰察布,内蒙古,113.106389,41.13
200,BAR,博鳌,琼海,海南,110.457921,19.141022
201,JIQ,武陵山,黔江,重庆,108.83539,29.511777
202,LLV,大武,吕梁,山西,111.14278,37.683334
203,PZI,保安营,攀枝花,四川,101.799265,26.534456
204,WUT,五台山,忻州,山西,112.9677778,38.59916667
205,LFQ,乔李,临汾,山西,111.6424568,36.13025171
206,YKH,兰旗,营口,辽宁,122.3256034,40.54156658
207,DCY,亚丁,稻城,四川,100.05333,29.323055
208,SQJ,沙县,三明,福建,117.840237,26.42274
209,JGD,嘎仙,加格达奇,黑龙江,124.124526,50.374258
210,CDE,普宁,承德,河北,118.080491,41.128319
211,SQD,三清山,上饶,江西,117.9691744,28.37739291
212,AXF,巴彦浩特,阿拉善左旗,内蒙古,105.63097,38.82332
213,GXH,夏河,甘南,甘肃,102.623638,34.818327
214,TNH,三源浦,通化,吉林,125.70389,42.253887
215,NLT,,那拉提,新疆,83.380912,43.433139
216,WGN,武冈,邵阳,湖南,110.645745,26.801329
217,CWJ,佤山,沧源,云南,99.367726,23.264479
218,HXD,德令哈,海西,青海,97.26861,37.125
219,SHF,花园,石河子,新疆,85.90699,44.252215
220,TCG,,塔城,新疆,83.346901,46.67251
221,GMQ,玛沁,果洛,青海,100.3061604,34.41829877
222,FYJ,东极,抚远,黑龙江,134.36333,48.19722
223,RKZ,和平,日喀则,西藏,89.313836,29.348303
224,JMJ,景迈,澜沧,云南,99.789519,22.41192
225,NZL,成吉思汗,扎兰屯,内蒙古,122.773531,47.869358
226,XYI,永兴,三沙,海南,112.338651,16.831004
227,NLH,泸沽湖,宁蒗,云南,100.7479668,27.52674842
228,HUO,霍林河,霍林郭勒,内蒙古,119.41546,45.48492
229,QSZ,莎车,莎车,新疆,77.06372,38.247295
230,FYN,可可托海,富蕴,新疆,89.51222222,46.80416667
231,HTT,花土沟,海西,青海,90.8575345,38.2521573
232,DBC,长安,白城,吉林,123.026293,45.508143
233,YSQ,查干湖,松原,吉林,124.557144,44.93954
234,EJN,桃来,额济纳旗,内蒙古,101.00056,42.015556
235,HCJ,金城江,河池,广西,107.69972,24.78389
236,RHT,巴丹吉林,阿拉善右旗,内蒙古,101.64432,39.213387
237,AHJ,红原,阿坝,四川,102.3574,32.5274
238,JSJ,湿地,建三江,黑龙江,132.672883,47.111009
239,HPG,红坪,神农架,湖北,110.33778,31.63333
240,DTU,德都,五大连池,黑龙江,126.132337,48.447837
241,CNI,大长山岛,长海,辽宁,122.671891,39.267495
